---,UnitCard,3028Weight,3039Weight,3050Weight
QKD-4G,"(Id=""MWUnitCardAsset:QKD-4G_UnitCard"")",0.18,0.17,0.16
QKD-4H,"(Id=""MWUnitCardAsset:QKD-4H_UnitCard"")",0.18,0.17,0.16
RVN-2X,"(Id=""MWUnitCardAsset:RVN-2X_UnitCard"")",0,0.39,0.33
RFL-3C,"(Id=""MWUnitCardAsset:RFL-3C_UnitCard"")",0,1.27,0.8
RFL-3N,"(Id=""MWUnitCardAsset:RFL-3N_UnitCard"")",2.7,1.27,0.8
RFL-5D,"(Id=""MWUnitCardAsset:RFL-5D_UnitCard"")",0,0,0.8
SHD-2D,"(Id=""MWUnitCardAsset:SHD-2D_UnitCard"")",1.94,1.94,0.96
SHD-2D2,"(Id=""MWUnitCardAsset:SHD-2D2_UnitCard"")",0,0,0.96
SHD-2H,"(Id=""MWUnitCardAsset:SHD-2H_UnitCard"")",1.94,1.94,0.96
SHD-5M,"(Id=""MWUnitCardAsset:SHD-5M_UnitCard"")",0,0,0.96
SDR-5D,"(Id=""MWUnitCardAsset:SDR-5D_UnitCard"")",0.45,0.42,0.36
SDR-5V,"(Id=""MWUnitCardAsset:SDR-5V_UnitCard"")",0.45,0.42,0.36
STK-3F,"(Id=""MWUnitCardAsset:STK-3F_UnitCard"")",0.42,0.416666667,0.238
STK-3H,"(Id=""MWUnitCardAsset:STK-3H_UnitCard"")",0.42,0.416666667,0.238
STK-4N,"(Id=""MWUnitCardAsset:STK-4N_UnitCard"")",0.42,0.416666667,0.238
STK-5M,"(Id=""MWUnitCardAsset:STK-5M_UnitCard"")",0,0,0.238
STK-5S,"(Id=""MWUnitCardAsset:STK-5S_UnitCard"")",0,0,0.238
Scorpion,"(Id=""MWUnitCardAsset:Scorpion_UnitCard"")",1,1,1
TDR-5S,"(Id=""MWUnitCardAsset:TDR-5S_UnitCard"")",1.28,1.2,0.275
TDR-5SS,"(Id=""MWUnitCardAsset:TDR-5SS_UnitCard"")",0,0,0.275
TDR-9S,"(Id=""MWUnitCardAsset:TDR-9S_UnitCard"")",0,0,0.275
TDR-9SE,"(Id=""MWUnitCardAsset:TDR-9SE_UnitCard"")",0,0,0.275
TBT-5N,"(Id=""MWUnitCardAsset:TBT-5N_UnitCard"")",0.56,0.56,0.26
TBT-7M,"(Id=""MWUnitCardAsset:TBT-7M_UnitCard"")",0,0,0.26
Tank_Jedgar,"(Id=""MWUnitCardAsset:Tank_Jedgar_UnitCard"")",1,1,1
Tank_Jedgar_Flamer,"(Id=""MWUnitCardAsset:Tank_Jedgar_Flamer_UnitCard"")",1,1,1
Tank_Jedgar_MachineGun,"(Id=""MWUnitCardAsset:Tank_Jedgar_MachineGun_UnitCard"")",1,1,1
Turret_AC2_1x0,"(Id=""MWUnitCardAsset:Turret_AC2_1x0_UnitCard"")",1,1,1
Turret_AC2_1x1,"(Id=""MWUnitCardAsset:Turret_AC2_1x1_UnitCard"")",1,1,1
Turret_AC2_2x2,"(Id=""MWUnitCardAsset:Turret_AC2_2x2_UnitCard"")",1,1,1
Turret_LargeLaser_1x1,"(Id=""MWUnitCardAsset:Turret_LargeLaser_1x1_UnitCard"")",1,1,1
Turret_MediumLaser_1x0,"(Id=""MWUnitCardAsset:Turret_MediumLaser_1x0_UnitCard"")",1,1,1
Turret_MediumLaser_1x1,"(Id=""MWUnitCardAsset:Turret_MediumLaser_1x1_UnitCard"")",1,1,1
Turret_MediumLaser_2x2,"(Id=""MWUnitCardAsset:Turret_MediumLaser_2x2_UnitCard"")",1,1,1
Turret_SRM2_1x0,"(Id=""MWUnitCardAsset:Turret_SRM2_1x0_UnitCard"")",1,1,1
Turret_SRM2_1x1,"(Id=""MWUnitCardAsset:Turret_SRM2_1x1_UnitCard"")",1,1,1
Turret_SRM6_1x1,"(Id=""MWUnitCardAsset:Turret_SRM6_1x1_UnitCard"")",1,1,1
Turret_SmallLaser_1x0,"(Id=""MWUnitCardAsset:Turret_SmallLaser_1x0_UnitCard"")",1,1,1
Turret_SmallLaser_1x1,"(Id=""MWUnitCardAsset:Turret_SmallLaser_1x1_UnitCard"")",1,1,1
Turret_SmallLaser_2x2,"(Id=""MWUnitCardAsset:Turret_SmallLaser_2x2_UnitCard"")",1,1,1
UM-R60,"(Id=""MWUnitCardAsset:UM-R60_UnitCard"")",1.77,1.59,1.47
VTR-9A1,"(Id=""MWUnitCardAsset:VTR-9A1_UnitCard"")",1.04,1.115,0.535
VTR-9B,"(Id=""MWUnitCardAsset:VTR-9B_UnitCard"")",1.04,1.115,0.535
VTR-9K,"(Id=""MWUnitCardAsset:VTR-9K_UnitCard"")",0,0,0.535
VTR-9S,"(Id=""MWUnitCardAsset:VTR-9S_UnitCard"")",0,0,0.535
VTOL_Igor_1x1_AC10,"(Id=""MWUnitCardAsset:VTOL_Igor_1x1_AC10_UnitCard"")",1,1,1
VTOL_Igor_2x2AC2,"(Id=""MWUnitCardAsset:VTOL_Igor_2x2AC2_UnitCard"")",1,1,1
VTOL_Warrior,"(Id=""MWUnitCardAsset:VTOL_Warrior_UnitCard"")",1,1,1
WHM-6D,"(Id=""MWUnitCardAsset:WHM-6D_UnitCard"")",0.92,0.86,0.533333333
WHM-6R,"(Id=""MWUnitCardAsset:WHM-6R_UnitCard"")",0.92,0.86,0.533333333
WHM-7S,"(Id=""MWUnitCardAsset:WHM-7S_UnitCard"")",0,0,0.533333333
WLF-1,"(Id=""MWUnitCardAsset:WLF-1_UnitCard"")",0,0.3,0.39
WLF-1A,"(Id=""MWUnitCardAsset:WLF-1A_UnitCard"")",0,0,0.39
WVR-6R,"(Id=""MWUnitCardAsset:WVR-6R_UnitCard"")",1.96,1.92,0.92
WVR-7D,"(Id=""MWUnitCardAsset:WVR-7D_UnitCard"")",0,0,0.92
ZEU-6S,"(Id=""MWUnitCardAsset:ZEU-6S_UnitCard"")",0,0.095,0.105
ZEU-6T,"(Id=""MWUnitCardAsset:ZEU-6T_UnitCard"")",0,0.095,0.105
ZEU-9S,"(Id=""MWUnitCardAsset:ZEU-9S_UnitCard"")",0,0,0.105
ZEU-9S2,"(Id=""MWUnitCardAsset:ZEU-9S2_UnitCard"")",0,0,0.105
FLE-15,"(Id=""MWUnitCardAsset:FLE-15_UnitCard"")",0.2,0.2,0.2
FLE-17,"(Id=""MWUnitCardAsset:FLE-17_UnitCard"")",0,0.2,0.96
FLE-19,"(Id=""MWUnitCardAsset:FLE-19_UnitCard"")",0,0.2,0.5
ASN-26,"(Id=""MWUnitCardAsset:ASN-26_UnitCard"")",0,0.2,0.3
ASN-27,"(Id=""MWUnitCardAsset:ASN-27_UnitCard"")",0,0.2,0.3
CP-11-P,"(Id=""MWUnitCardAsset:CP-11-P_UnitCard"")",0,0,0.2075
,,,,
