---,UnitCard,3028Weight,3039Weight,3050Weight
VTR-9K,"(Id=""MWUnitCardAsset:VTR-9K_UnitCard"")",0,0,0.036666667
VTOL_Igor_1x1_AC10,"(Id=""MWUnitCardAsset:VTOL_Igor_1x1_AC10_UnitCard"")",0,0,0
VTOL_Igor_2x2AC2,"(Id=""MWUnitCardAsset:VTOL_Igor_2x2AC2_UnitCard"")",0,0,0
VTOL_Warrior,"(Id=""MWUnitCardAsset:VTOL_Warrior_UnitCard"")",0,0,0
WHM-6R,"(Id=""MWUnitCardAsset:WHM-6R_UnitCard"")",2,2.05,2.18
WVR-6R,"(Id=""MWUnitCardAsset:WVR-6R_UnitCard"")",6.8,6.72,6.24
ZEU-6S,"(Id=""MWUnitCardAsset:ZEU-6S_UnitCard"")",0,0,0
ZEU-9S,"(Id=""MWUnitCardAsset:ZEU-9S_UnitCard"")",0,0.2,0.4
ZEU-9S2,"(Id=""MWUnitCardAsset:ZEU-9S2_UnitCard"")",0,0.2,0.4
FLE-19,"(Id=""MWUnitCardAsset:FLE-19_UnitCard"")",0,0.2,0.5
ARC-5S,"(Id=""MWUnitCardAsset:ARC-5S_UnitCard"")",0,0,0.5
ARC-5W,"(Id=""MWUnitCardAsset:ARC-5S_UnitCard"")",0,0,0.5
MAD-5D,"(Id=""MWUnitCardAsset:MAD-5D_UnitCard"")",0,0,0.18
,,,,
